year;area;information;price_per_square_meter;observations
2008;Kihnia;single_family_houses;722;6
2008;Kiikoinen;block_of_flats;;
2008;Kiikoinen;single_family_houses;670;6
2008;Kiiminki;block_of_flats;;3
2008;Kiiminki;single_family_houses;1259;95
2008;Kinnula;block_of_flats;;
2008;Kinnula;single_family_houses;;2
2008;Kirkkonummi;block_of_flats;1637;207
2008;Kirkkonummi;single_family_houses;2286;276
2008;Kitee;block_of_flats;960;34
2008;Kitee;single_family_houses;1001;38
2008;Kittila;block_of_flats;;1
2008;Kittila;single_family_houses;2083;39
2008;Kiuruvesi;block_of_flats;831;24
2008;Kiuruvesi;single_family_houses;1111;19
2008;Kivijarvi;block_of_flats;;4
2008;Kivijarvi;single_family_houses;;5
2008;Kokemaki;block_of_flats;779;29
2008;Kokemaki;single_family_houses;887;28
2008;Kokkola;block_of_flats;1239;288
2008;Kokkola;single_family_houses;1418;218
2008;Kolari;block_of_flats;;5
2008;Kolari;single_family_houses;1055;67
2008;Konnevesi;block_of_flats;;4
2008;Konnevesi;single_family_houses;;2
2008;Kontiolahti;block_of_flats;1799;12
2008;Kontiolahti;single_family_houses;1558;54
2008;Korsnas;block_of_flats;;
2008;Korsnas;single_family_houses;;
2008;Hameenkoski;block_of_flats;;1
2008;Hameenkoski;single_family_houses;1036;8
2008;Koski_Tl;block_of_flats;;4
2008;Koski_Tl;single_family_houses;941;9
2008;Kotka;block_of_flats;1279;815
2008;Kotka;single_family_houses;1420;225
2008;Kouvola;block_of_flats;1010;832
2008;Kouvola;single_family_houses;1294;362
2008;Kristiinankaupunki;block_of_flats;845;12
2008;Kristiinankaupunki;single_family_houses;688;19
2008;Kruunupyy;block_of_flats;;3
2008;Kruunupyy;single_family_houses;;4
2008;Kuhmo;block_of_flats;1059;25
2008;Kuhmo;single_family_houses;925;21
2008;Kuhmoinen;block_of_flats;1023;12
2008;Kuhmoinen;single_family_houses;;2
2008;Kuopio;block_of_flats;1663;1037
2008;Kuopio;single_family_houses;1743;406
2008;Kuortane;block_of_flats;;2
2008;Kuortane;single_family_houses;794;17
2008;Kurikka;block_of_flats;897;15
2008;Kurikka;single_family_houses;1096;45
2008;Kustavi;block_of_flats;;4
2008;Kustavi;single_family_houses;;2
2008;Kuusamo;block_of_flats;1148;50
2008;Kuusamo;single_family_houses;1165;74
2008;Outokumpu;block_of_flats;671;50
2008;Outokumpu;single_family_houses;964;30
2008;Kylmakoski;block_of_flats;;
2008;Kylmakoski;single_family_houses;1015;16
2008;Kyyjarvi;block_of_flats;;1
2008;Kyyjarvi;single_family_houses;;2
2008;Karkola;block_of_flats;;3
2008;Karkola;single_family_houses;1077;29
2008;Karsamaki;block_of_flats;;
2008;Karsamaki;single_family_houses;680;14
2008;Kaylia;block_of_flats;;3
2008;Kaylia;single_family_houses;;4
2008;Kemijarvi;block_of_flats;724;49
2008;Kemijarvi;single_family_houses;780;28
2008;Kemionsaari;block_of_flats;923;27
2008;Kemionsaari;single_family_houses;947;15
2008;Lahti;block_of_flats;1407;1764
2008;Lahti;single_family_houses;1658;330
2008;Laihia;block_of_flats;;4
2008;Laihia;single_family_houses;1146;35
2008;Laitila;block_of_flats;944;49
2008;Laitila;single_family_houses;1129;28
2008;Lapinlahti;block_of_flats;880;14
2008;Lapinlahti;single_family_houses;1082;37
2008;Lappeenranta;block_of_flats;1567;810
2008;Lappeenranta;single_family_houses;1688;213
2008;Lapinjarvi;block_of_flats;;1
2008;Lapinjarvi;single_family_houses;;6
2008;Lapua;block_of_flats;795;35
2008;Lapua;single_family_houses;1301;48
2008;Laukaa;block_of_flats;1222;34
2008;Laukaa;single_family_houses;1285;77
2008;Lavia;block_of_flats;;
2008;Lavia;single_family_houses;920;10
2008;Lemi;block_of_flats;;1
2008;Lemi;single_family_houses;1322;13
2008;Lempaala;block_of_flats;1390;165
2008;Lempaala;single_family_houses;1866;132
2008;Leppavirta;block_of_flats;876;38
2008;Leppavirta;single_family_houses;1135;29
2008;Lieksa;block_of_flats;747;101
2008;Lieksa;single_family_houses;782;42
2008;Lieto;block_of_flats;1448;33
2008;Lieto;single_family_houses;1760;46
2008;Liljendal;block_of_flats;;
2008;Liljendal;single_family_houses;;4
2008;Liminka;block_of_flats;;1
2008;Liminka;single_family_houses;1257;27
2008;Liperi;block_of_flats;1120;12
2008;Liperi;single_family_houses;1171;41
2008;Loimaa;block_of_flats;952;100
2008;Loimaa;single_family_houses;1132;82
2008;Loppi;block_of_flats;1283;14
2008;Loppi;single_family_houses;1299;15
2008;Loviisa;block_of_flats;1342;56
2008;Loviisa;single_family_houses;1199;29
2008;Luhanka;block_of_flats;;
2008;Luhanka;single_family_houses;;1
2008;Luoto;block_of_flats;;3
2008;Luoto;single_family_houses;;13
2008;Luumaki;block_of_flats;841;14
2008;Luumaki;single_family_houses;1160;16
2008;Luvia;block_of_flats;;1
2008;Luvia;single_family_houses;1125;9
2008;Lohja;block_of_flats;1624;274
2008;Lohja;single_family_houses;1925;211
2008;Lansi-Turunmaa;block_of_flats;1249;107
2008;Lansi-Turunmaa;single_family_houses;1474;51
2008;Maalahti;block_of_flats;;
2008;Maalahti;single_family_houses;1012;14
2008;Maaninka;block_of_flats;;
2008;Maaninka;single_family_houses;1233;31
2008;Marttila;block_of_flats;;7
2008;Marttila;single_family_houses;1115;9
2008;Masku;block_of_flats;1256;12
2008;Masku;single_family_houses;1653;34
2008;Merijarvi;block_of_flats;;
2008;Merijarvi;single_family_houses;;1
2008;Merikarvia;block_of_flats;;12
2008;Merikarvia;single_family_houses;;3
2008;Miehikkala;block_of_flats;;
2008;Miehikkala;single_family_houses;;2
2008;Mikkeli;block_of_flats;1509;547
2008;Mikkeli;single_family_houses;1619;234
2008;Muhos;block_of_flats;1396;6
2008;Muhos;single_family_houses;1116;26
2008;Multia;block_of_flats;;
2008;Multia;single_family_houses;817;13
2008;Muonio;block_of_flats;;
2008;Muonio;single_family_houses;;3
2008;Mustasaari;block_of_flats;1176;22
2008;Mustasaari;single_family_houses;1413;91
2008;Muurame;block_of_flats;1209;28
